delta,theta,alpha,beta,mean,std,label
1478.3363472672436,548.1945989461443,128.62053095510774,116.64194470929581,-16.311307883092198,71.39815267584864,1
1245.7028815751942,167.3357278537145,61.14050975517946,81.0267810621725,13.417901031176205,52.61873325057956,1
3379.6353329738286,442.35305968058765,152.46151776557537,127.08011630652679,-1.1030906110401784,67.82706839040236,1
1222.9705200019919,313.5299863320718,133.5857659437188,95.85082425874623,8.9399404413791,52.34696371509448,1
1468.8674813349949,225.9829064592025,139.40362836982362,117.97335044412196,-22.019770462178656,72.63721853737142,1
570.8229807514847,224.90901348336712,154.50115650152006,102.01042481623892,22.301056833860596,69.26754117212322,1
1438.1109213181412,212.0042278118433,151.81178931564375,130.22426778425753,0.9639580068278493,41.91438572465079,1
1909.5338908183453,695.7380301002408,211.57272555098783,93.24315647257437,1.0410370797700317,55.67422212619895,1
362.20800757772804,407.4661361334006,230.4565263479853,102.59651694826037,-8.376460345995032,46.75145583982132,1
1801.070319913932,376.1780910400852,294.146402444081,223.31254855233527,-1.4719587739414335,69.99760011399114,1
1242.630963928309,547.0945103195868,239.04230835761612,226.53014194623736,1.276411370438753,47.69964385830815,1
1593.8550304448427,345.28397247857305,73.9755891012901,112.30710730028838,-12.429925682227974,63.07026530909718,1
1350.7210234183483,429.93586600869185,249.81217578801005,133.67028932067433,-15.369739966874931,64.32748040208293,1
1922.841874887872,408.2594415026803,378.10101393707345,126.0830300939116,1.8657452182813827,56.08683371073516,1
1093.7303989528798,288.9275081177174,158.9629847198967,101.37345903562603,9.05320215845185,52.836303136567544,1
1244.8464448107875,775.7115462910299,247.56954864019036,117.1555123406489,5.759284487109705,57.81150537587316,1
1427.1095655508977,643.2233437407914,142.01441365496729,87.05401841736261,-2.8172175148888376,57.6984782811121,1
